International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Total_Minutes,Total_Calls,Avg_Daily_Usage,Call_Frequency,Intl_Usage_Rate,High_Service_Calls,log_Total_Minutes,log_Avg_Daily_Usage,log_Call_Frequency,Churn
0,1,29,179.3,104,225.9,323.0,78,8.6,7,0,736.8000000000001,275,139.8987341772152,52.21518987341772,0.01165627541339116,0,6.603672785162575,4.948041435026204,3.9743438795298203,0
0,0,0,203.4,100,190.9,196.0,119,8.9,4,0,599.1999999999999,327,97.16756756756754,53.027027027027025,0.014828390536487839,0,6.3972629330062665,4.586675891640174,3.9894844218561754,1
0,0,0,160.1,110,213.3,174.1,72,13.0,4,0,560.5,258,163.25242718446603,75.14563106796118,0.02315227070347284,0,6.3306117741784975,5.101404434634324,4.332647704983031,0
0,0,0,251.8,72,205.7,275.2,109,9.8,7,2,742.5,314,208.17757009345794,88.03738317757009,0.013180901143241427,0,6.61136876590021,5.343183508916066,4.489056317244873,1
0,0,0,178.3,137,189.0,129.1,102,14.6,5,0,511.0,320,111.08695652173914,69.56521739130436,0.028515625,0,6.238324625039508,4.719274967569983,4.256537351585441,0
0,0,0,135.0,99,183.6,245.3,102,12.5,9,1,576.4000000000001,316,138.33600000000004,75.84000000000002,0.021648770349844127,0,6.358535267228834,4.936888282429484,4.341725337900356,0
0,1,29,281.4,102,202.2,187.2,113,9.0,6,2,679.8,297,308.99999999999994,135.0,0.013219741480611046,0,6.523268577259164,5.736572297479192,4.912654885736052,0
0,1,32,148.6,91,131.1,219.4,142,10.1,1,1,509.20000000000005,331,89.33333333333334,58.070175438596486,0.01979615836926695,0,6.234802805707711,4.503506532211591,4.078726151326524,0
0,0,0,58.9,125,169.6,211.4,88,9.4,3,1,449.29999999999995,275,144.93548387096772,88.70967741935483,0.020874972240728405,0,6.109914027307526,4.9831646327508645,4.496578649748819,0
0,0,0,239.8,125,214.8,143.3,81,8.7,5,2,606.6000000000001,322,143.29133858267718,76.06299212598425,0.014318630678077678,0,6.409516770721618,4.971834440296261,4.344623166967228,0
0,0,0,166.3,125,158.2,256.7,80,6.1,5,1,587.3000000000001,296,167.8,84.57142857142857,0.010368859425463197,0,6.37723702187041,5.128714582161857,4.449351449060136,0
0,0,0,146.7,91,203.5,203.4,110,13.7,3,1,567.3000000000001,282,108.40127388535034,53.88535031847134,0.024106985746964626,0,6.342649448303076,4.695022534210309,4.005246469891459,0
0,0,0,181.5,121,218.4,161.6,103,8.5,5,1,570.0,327,113.24503311258279,64.96688741721854,0.0148861646234676,0,6.3473892096560105,4.73834555497882,4.189152910330241,0
0,0,0,102.8,119,206.7,299.0,105,10.1,7,1,618.6,322,126.24489795918367,65.71428571428571,0.01630083925112976,0,6.429074108542713,4.84611356000351,4.200419108613584,0
0,0,0,187.9,116,157.6,227.3,86,7.5,6,1,580.3,325,183.25263157894736,102.63157894736842,0.012902115947015312,0,6.365266974707305,5.2163078136211665,4.640842099472685,0
0,0,0,183.6,117,256.7,178.6,79,10.2,2,1,629.1,270,524.25,225.0,0.01618790668147913,0,6.44587853694801,6.26387433972511,5.420534999272286,0
0,0,0,230.9,87,187.4,154.0,53,6.3,2,0,578.5999999999999,232,279.96774193548384,112.25806451612904,0.010869565217391306,0,6.362338210446527,5.6382398653614025,4.729668971683286,0
0,1,27,182.1,91,169.7,164.7,86,10.6,5,2,527.1,280,168.22340425531917,89.36170212765957,0.02007195606892634,0,6.269285659712888,5.1312197606283565,4.503820528603213,0
0,0,0,119.3,87,211.5,268.9,86,10.5,4,3,610.2,278,332.8363636363636,151.63636363636363,0.017179319371727748,0,6.415424237852311,5.810650943689716,5.02805838427917,0
0,0,0,116.8,87,178.9,182.4,150,14.1,2,1,492.20000000000005,332,155.43157894736845,104.8421052631579,0.028588807785888074,0,6.200914771290189,5.052618719158029,4.661948410606212,0
0,0,0,202.1,103,229.4,195.2,113,11.5,3,2,638.2,305,121.94904458598727,58.28025477707006,0.017991239048811013,0,6.460217394452065,4.811769997879567,4.082276278837402,0
0,0,0,271.6,71,229.4,77.3,121,10.9,3,2,589.1999999999999,303,143.7073170731707,73.90243902439025,0.01846831582514402,0,6.380461462508839,4.974713199554335,4.316186453736514,0
0,0,0,326.5,67,176.3,181.7,102,10.7,6,2,695.2,288,87.63025210084034,36.30252100840336,0.01536914679689744,0,6.545636975377339,4.484473245165085,3.6190609117225057,1
0,0,0,243.8,98,83.9,179.8,84,13.7,8,2,521.2,262,102.86842105263159,51.71052631578947,0.02623515894293374,0,6.258050656265029,4.643124915936461,3.9648151759394326,0
0,0,0,241.1,72,155.6,188.2,109,11.6,10,1,596.5,289,138.72093023255815,67.2093023255814,0.019414225941422593,0,6.392754283805666,4.939647077750409,4.222580953283889,0
0,0,0,136.1,112,272.9,220.2,104,4.4,2,1,633.6,314,200.08421052631581,99.15789473684211,0.006933501418216199,0,6.452994879149095,5.3037237781631115,4.606747888129709,0
0,0,0,213.4,111,234.5,250.1,123,2.7,4,1,700.7,332,221.27368421052634,104.8421052631579,0.003847798204360838,0,6.553505962258243,5.4039094343429666,4.661948410606212,0
0,1,22,196.6,84,313.2,163.3,108,11.9,3,0,684.9999999999999,287,273.99999999999994,114.8,0.017346938775510207,0,6.530877627725885,5.616771097666571,4.751864565138895,0
0,0,0,134.4,106,211.3,193.6,125,10.2,2,5,549.5000000000001,331,97.54437869822486,58.75739644970414,0.01852861035422343,1,6.310826956162735,4.590506991872691,4.090292973103484,1
0,0,0,83.6,148,120.9,226.6,110,10.7,9,0,441.8,358,54.09795918367346,43.836734693877546,0.02416440831074977,0,6.093118200834482,4.0091126770641,3.8030277742739833,0
0,0,0,181.8,85,202.4,245.9,97,9.2,2,4,639.3000000000001,282,154.66935483870972,68.22580645161291,0.014368264875839448,1,6.461936816524757,5.047734237622839,4.237373718705498,0
0,1,23,154.0,114,278.0,228.4,112,11.8,4,2,672.1999999999999,367,135.34228187919462,73.89261744966443,0.017528223410576353,0,6.512042462316651,4.915168502476368,4.316055320240242,0
0,1,41,119.0,101,230.0,236.9,58,9.5,3,0,595.4,296,153.98275862068965,76.55172413793103,0.015928906773977198,0,6.390911582890583,5.04331387602698,4.350945121972842,0
0,1,32,165.9,126,216.5,173.1,86,14.1,8,4,569.6,313,125.64705882352942,69.04411764705883,0.024710830704521555,1,6.3466884387794,4.841404153308147,4.249125295624753,0
1,0,0,62.6,111,180.6,221.7,80,10.4,2,1,475.29999999999995,319,116.87704918032786,78.44262295081968,0.021834977955070337,0,6.166047907806814,4.769642125153123,4.37503503720316,1
0,0,0,168.3,110,221.2,241.0,136,12.5,1,1,643.0,320,178.61111111111111,88.88888888888889,0.019409937888198756,0,6.467698726104354,5.190794019829268,4.498574339722272,0
0,0,0,262.4,55,194.6,146.5,85,8.3,6,2,611.8,259,99.2108108108108,42.0,0.013544386422976503,0,6.418038618426381,4.607276075154267,3.7612001156935624,0
0,1,48,94.4,104,136.2,147.4,89,4.5,4,0,382.5,298,122.07446808510639,95.1063829787234,0.011734028683181226,0,5.949339620807311,4.812789603758885,4.565455733944545,0
0,0,0,221.4,103,231.8,122.5,100,9.8,5,3,585.5,311,155.4424778761062,82.56637168141593,0.016709292412617222,0,6.3741726680935304,5.052688388908553,4.425641186550728,0
0,1,48,189.8,96,123.4,214.2,106,6.5,2,2,533.9000000000001,271,92.05172413793105,46.724137931034484,0.012151804075528135,0,6.282079813537204,4.533155512072224,3.865437306191141,1
0,0,0,172.3,97,174.0,188.2,119,13.0,4,2,547.5,328,94.94219653179191,56.87861271676301,0.023701002734731084,0,6.307187279715285,4.5637458906606145,4.058347933210024,0
0,0,0,198.4,93,210.9,193.3,71,10.4,6,2,613.0,278,165.67567567567568,75.13513513513513,0.016938110749185668,0,6.419994928147142,5.1160498623472686,4.332509855232148,0
0,1,24,147.5,90,175.7,252.1,102,15.6,3,2,590.9,303,101.29714285714286,51.94285714285714,0.026355803345159655,0,6.3833377016966795,4.62788174350737,3.969213164795946,0
0,0,0,303.9,95,260.9,312.1,89,5.3,3,1,882.1999999999999,301,222.40336134453779,75.88235294117646,0.00600090579710145,0,6.783551675522831,5.408978932826909,4.342276369568006,1
0,1,34,230.6,121,219.4,299.3,94,8.0,2,0,757.3,316,99.20960698689956,41.39737991266375,0.01054991428194646,0,6.63107908570689,4.607264062167522,3.747086565815905,0
0,1,37,172.7,93,120.1,216.1,86,10.3,5,5,519.1999999999999,300,123.61904761904759,71.42857142857143,0.019800076893502504,1,6.254213353014551,4.825261464806722,4.28260085453587,1
0,0,0,181.5,98,199.9,287.7,114,6.6,5,1,675.6999999999999,305,163.4758064516129,73.79032258064517,0.009753214127382889,0,6.5172280432381795,5.102763486146622,4.314688499346369,0
0,0,0,266.6,106,264.8,207.2,119,5.9,2,1,744.5000000000001,395,142.26114649681531,75.47770700636943,0.007914151576123407,0,6.6140551342047935,4.964669164063785,4.33699928668241,1
0,0,0,170.4,108,350.5,297.0,87,11.2,3,0,829.1,266,164.72185430463577,52.8476821192053,0.013492350319238644,0,6.72154617546099,5.110310806530113,3.9861593593929134,1
0,0,0,296.4,99,214.8,133.9,107,11.4,3,4,656.5,298,129.57236842105263,58.81578947368421,0.017338403041825094,1,6.48844476405192,4.871927620345982,4.091269664126157,1
0,1,35,68.7,95,209.2,197.4,42,11.4,4,1,486.69999999999993,210,96.69536423841059,41.72185430463576,0.023375025630510565,0,6.189700462716007,4.58185410898145,3.7547105997173174,0
0,0,0,233.8,104,266.5,212.7,104,7.6,3,2,720.6,305,202.0373831775701,85.51401869158877,0.010532150776053214,0,6.581470968748414,5.3133901156716865,4.460306466605305,0
1,0,0,236.2,77,218.6,194.1,97,13.2,2,2,662.1,261,211.3085106382979,83.29787234042553,0.019906499773789773,0,6.496925808374822,5.3580404556979815,4.434356625548437,1
1,0,0,244.6,89,188.8,206.0,114,11.3,4,1,650.6999999999999,287,126.75974025974024,55.90909090909091,0.017339266533681143,0,6.479584333338335,4.850151470871975,4.041455098301728,0
0,0,0,124.4,83,179.7,253.0,99,11.3,6,0,568.4,269,95.79775280898876,45.33707865168539,0.019845451352300668,0,6.344583174843937,4.5726237792298905,3.8359424754047104,0
0,0,0,230.0,87,103.2,309.6,136,11.3,3,2,654.0999999999999,364,183.39252336448595,102.05607476635514,0.017249274919859565,0,6.48478789573783,5.217066764554755,4.635273255296772,0
0,0,0,201.8,81,225.0,204.4,82,10.3,6,1,641.5,283,116.63636363636364,51.45454545454545,0.016031128404669262,0,6.465366816769375,4.767598202262476,3.959946993709729,0
0,1,21,214.0,113,180.0,134.5,82,10.6,5,0,539.1,314,138.23076923076923,80.51282051282051,0.01962599518607665,0,6.291754307598845,4.936132766798335,4.400760314781156,0
0,0,0,210.5,102,204.5,127.8,53,8.5,5,1,551.3,243,196.89285714285714,86.78571428571429,0.01539018649284809,0,6.314091376907141,5.287725758692146,4.4748987799507765,0
0,0,0,105.6,129,258.2,213.1,77,8.7,3,0,585.6,338,270.276923076923,155.99999999999997,0.01483123082168428,0,6.37434315654335,5.603140155512286,5.056245805348308,0
0,0,0,138.6,102,199.0,204.1,137,7.8,4,0,549.5,336,144.60526315789474,88.42105263157895,0.014168937329700272,0,6.310826956162734,4.980899283171724,4.493356142505491,0
0,0,0,234.4,103,279.3,234.2,121,2.0,2,1,749.9000000000001,335,181.42741935483875,81.0483870967742,0.0026634705020641895,0,6.621272487105839,5.206352391752799,4.4073091597776735,1
0,1,26,145.8,108,192.2,165.1,96,9.9,2,1,513.0,295,122.14285714285714,70.23809523809524,0.01926070038910506,0,6.2422232654551655,4.813345121608379,4.266027720811,0
0,0,0,97.2,80,186.2,189.0,92,10.4,6,2,482.79999999999995,268,154.08510638297872,85.53191489361703,0.021496486151302195,0,6.181671598175927,5.043974039672154,4.460513304197166,0
0,0,0,259.8,85,242.3,168.8,72,5.4,1,0,676.3000000000001,275,176.42608695652174,71.73913043478261,0.007972833308725823,0,6.518114306220858,5.178554110679567,4.286879485057674,0
0,0,0,239.9,84,174.8,209.5,93,9.8,2,0,634.0,285,129.3877551020408,58.16326530612245,0.015433070866141733,0,6.453624998892692,4.870512742491717,4.080300830811029,0
0,1,16,221.6,110,130.2,200.0,108,11.3,3,1,563.0999999999999,344,118.96478873239434,72.67605633802816,0.02003190923595108,0,6.33523154074593,4.787198272493806,4.299677866329295,0
1,0,0,192.9,131,185.5,205.2,130,10.9,4,1,594.4999999999999,366,112.1698113207547,69.05660377358491,0.018303946263644,0,6.3894013887953545,4.728889445756832,4.249303540624958,0
0,0,0,173.2,91,196.8,209.3,128,11.2,5,3,590.5,330,104.20588235294117,58.23529411764706,0.01893491124260355,0,6.3826616834184415,4.655919214642856,4.0815175486623465,0
0,0,0,153.5,99,197.6,198.5,86,6.3,2,2,555.9,289,150.24324324324323,78.1081081081081,0.01131262345124798,0,6.322385690595623,5.018889423141148,4.370815374047662,0
0,0,0,59.5,103,257.2,208.3,86,11.1,6,0,536.1,301,160.83,90.3,0.020666542543288025,0,6.286184296911414,5.0865464015287944,4.514150787600923,0
0,1,21,264.3,79,202.8,173.4,92,6.3,3,4,646.8,292,178.0183486238532,80.36697247706422,0.009725223834516827,1,6.473582006737229,5.187488306865855,4.398969447147309,0
0,0,0,127.9,107,271.2,202.2,76,12.5,5,0,613.8,312,160.12173913043478,81.39130434782608,0.020331815224463243,0,6.421297011664441,5.082160222919164,4.411479901587377,0
0,0,0,149.0,115,245.3,260.0,94,8.3,3,0,662.5999999999999,317,164.28099173553719,78.59504132231405,0.012507534659433396,0,6.497679558316289,5.107647005689345,4.376951795964123,0
0,1,20,198.9,77,274.0,190.7,76,14.3,9,1,677.8999999999999,250,113.61452513966478,41.899441340782126,0.021063485049344532,0,6.520473841307601,4.7415745426684035,3.7588588034897885,0
0,0,0,98.2,88,180.5,223.6,69,9.3,2,2,511.59999999999997,228,170.53333333333333,76.0,0.018142801404603986,0,6.23949581392997,5.144777611179534,4.343805421853684,0
0,0,0,147.9,109,228.4,299.7,90,9.6,9,3,685.6,325,141.84827586206896,67.24137931034483,0.013981939994174191,0,6.531751881023592,4.961783059034948,4.223051115616092,0
0,1,18,106.4,109,108.1,208.4,111,10.1,5,1,433.0,338,74.65517241379311,58.275862068965516,0.023271889400921657,0,6.073044534100405,4.326185810848702,4.082202175396375,0
0,1,32,70.9,163,166.7,244.9,105,11.1,5,3,493.6,394,127.65517241379311,101.89655172413794,0.02244237767893247,0,6.203749355087316,4.857135743234684,4.6337241313371775,0
0,1,20,214.6,101,235.1,162.8,132,14.8,12,0,627.3,377,111.3550295857988,66.92307692307692,0.023555626293172056,0,6.443017759408901,4.721663764748135,4.218375843142423,0
0,0,0,151.1,123,187.4,255.4,93,5.3,3,1,599.1999999999999,323,116.7272727272727,62.92207792207792,0.00883038987004332,0,6.3972629330062665,4.768370701335267,4.157664809097318,0
1,0,0,233.8,103,221.6,146.9,106,12.8,3,0,615.0999999999999,343,139.7954545454545,77.95454545454545,0.020775848076610943,0,6.423409288020525,4.947308160144981,4.368872312882789,0
0,0,0,208.9,119,252.4,280.2,120,12.8,7,0,754.3,378,209.52777777777777,105.0,0.016946908513173577,0,6.627115021319402,5.3496176053559195,4.663439094112067,0
1,0,0,191.9,91,256.1,203.7,101,14.3,6,1,666.0,308,235.0588235294118,108.70588235294119,0.021439280359820092,0,6.502790045915623,5.4640810262107005,4.6978029880217,1
0,1,33,119.6,104,278.7,263.4,175,5.9,2,2,667.5999999999999,369,125.96226415094338,69.62264150943396,0.008824409213281486,0,6.5051859739859985,4.8438899096361965,4.257350794352307,0
1,0,0,211.3,61,105.6,175.9,63,9.7,4,4,502.49999999999994,247,143.57142857142856,70.57142857142857,0.019265143992055613,1,6.221583712158617,4.973773700792098,4.270695952029551,1
0,1,23,114.3,102,190.3,240.4,111,12.6,7,3,557.6,323,107.23076923076923,62.11538461538461,0.022556390977443608,0,6.325433653511077,4.684265699652852,4.144964553068609,0
0,0,0,154.0,122,329.8,288.0,117,5.6,2,3,777.4,329,191.1639344262295,80.90163934426229,0.007194244604316546,0,6.657240530871795,5.258348832863064,4.405519007072157,1
0,0,0,214.7,68,158.6,123.4,114,9.4,4,2,506.0999999999999,324,185.15853658536582,118.53658536585365,0.018536777755866696,0,6.228708222800973,5.2265986579047246,4.783622478205239,0
0,0,0,231.3,105,171.7,67.7,136,13.0,6,1,483.7,355,124.02564102564102,91.02564102564102,0.026820713843614608,0,6.18353014285133,4.828518844471516,4.52206724501796,0
0,1,22,40.9,126,133.4,264.2,91,11.9,7,0,450.4,314,108.096,75.36000000000001,0.026362428001772267,0,6.112353864383436,4.692228228555533,4.335458998857547,0
0,0,0,310.4,97,66.5,246.5,99,9.2,10,4,632.6,329,195.64948453608247,101.75257731958763,0.014520202020202018,1,6.451417840500216,5.281422877649275,4.632323936464074,0
0,0,0,216.6,126,190.8,224.7,123,12.4,8,0,644.4999999999999,361,99.15384615384613,55.53846153846154,0.01920991479473277,0,6.470025210286697,4.606707465306978,4.0349211417513,0
0,1,29,209.9,77,158.0,141.9,113,6.6,1,0,516.4,243,86.06666666666666,40.5,0.012756088132972555,0,6.248816269751929,4.466674108734166,3.7256934272366524,0
0,0,0,234.5,109,216.5,191.6,94,3.5,6,3,646.1,338,346.125,181.07142857142856,0.005408746716118065,0,6.47250084206322,5.849684945626963,5.204399074760857,0
0,1,31,103.1,90,243.0,76.4,92,12.2,8,3,434.7,325,119.64220183486238,89.44954128440367,0.028000918062887306,0,6.076953933123397,4.792829155376767,4.504792140345898,0
1,0,0,279.8,90,248.7,171.0,118,8.4,10,2,707.9,309,214.51515151515153,93.63636363636364,0.011849344054168431,0,6.563714472860972,5.37303121572726,4.550041795816599,1
1,1,41,136.8,91,200.8,133.7,67,10.3,9,5,481.6,228,115.58400000000002,54.720000000000006,0.02134272689598011,1,6.179188153190932,4.758612043231396,4.020339148911605,1
0,0,0,224.5,111,200.7,116.6,118,11.5,2,2,553.3,330,88.76470588235293,52.94117647058823,0.020746887966804982,0,6.3177060564257586,4.497191867788186,3.987894128200249,0
0,0,0,160.6,103,237.0,245.1,88,10.7,1,1,653.4000000000001,301,178.20000000000005,82.0909090909091,0.016350855745721267,0,6.483718785288538,5.188502500540831,4.41993529865578,0
0,1,37,121.5,97,271.4,248.7,97,11.3,5,2,652.8999999999999,309,186.54285714285712,88.28571428571429,0.017280929805780706,0,6.48295443456723,5.234007390720568,4.491841500681089,0
0,0,0,228.1,121,276.5,279.8,77,9.9,5,2,794.3000000000001,282,322.01351351351354,114.32432432432432,0.012448132780082987,0,6.6787194019630896,5.777694159850631,4.747748370543776,1
0,0,0,89.7,118,260.1,170.1,93,13.5,11,5,533.4,301,122.15267175572517,68.93129770992365,0.025261976047904193,1,6.281144622222436,4.813424819464992,4.247513298814057,1
0,1,14,80.2,81,219.0,122.6,102,8.6,2,1,430.4,288,87.83673469387755,58.77551020408163,0.019935095039406582,0,6.067035733955056,4.486800243441671,4.0905960487171065,0
0,0,0,125.7,96,207.6,183.1,103,12.9,2,1,529.3,338,141.7767857142857,90.53571428571428,0.024325853290590234,0,6.273442884143084,4.961282471664347,4.5167292161888675,0
0,0,0,160.4,68,102.6,235.3,106,9.1,5,2,507.40000000000003,282,220.60869565217394,122.60869565217392,0.017899291896144767,0,6.231268539315299,5.400913194410892,4.8171208957218505,0
0,0,0,169.9,144,225.2,169.7,93,11.4,7,1,576.1999999999999,362,288.09999999999997,181.0,0.019750519750519755,0,6.358188826899716,5.6667726490223,5.204006687076795,0
0,1,29,142.3,107,118.7,240.1,91,6.6,8,1,507.70000000000005,262,163.7741935483871,84.51612903225806,0.012974248083349713,0,6.231858451828719,5.104576012667284,4.448705001803879,0
0,0,0,146.2,55,261.5,163.2,116,8.7,3,3,579.6,257,123.31914893617021,54.680851063829785,0.01498449879435067,0,6.36406205159053,4.822852040844379,4.019636300820087,0
0,0,0,231.8,120,150.6,269.2,129,11.6,7,3,663.1999999999999,362,164.4297520661157,89.75206611570248,0.01746461909063535,0,6.498583308942646,5.108546645893965,4.5081312400009725,0
1,1,29,220.7,82,217.7,190.5,100,13.2,6,1,642.1,298,142.6888888888889,66.22222222222223,0.020525579225625874,0,6.466300233140817,4.967650468515059,4.208003880694622,1
1,1,35,128.2,138,274.5,298.9,130,8.8,7,2,710.3999999999999,388,108.734693877551,59.38775510204082,0.012369974697779031,0,6.567234859514355,4.698065578699051,4.100786354289583,0
0,0,0,130.2,119,290.9,194.8,140,14.0,6,3,629.9,386,173.36697247706422,106.23853211009174,0.022190521477254716,0,6.447147371376764,5.161162115542117,4.675055625378627,0
0,1,33,209.6,68,146.9,121.0,131,10.6,3,2,488.1,342,108.46666666666667,76.0,0.02167245961970967,0,6.192566967545312,4.695620088910164,4.343805421853684,0
0,0,0,215.7,140,146.3,264.6,83,7.1,1,3,633.7,308,94.11386138613862,45.742574257425744,0.011186387269576176,0,6.453152446312425,4.555074714830496,3.844655403705027,0
0,0,0,150.7,105,197.3,169.0,116,9.2,15,1,526.2,369,104.5430463576159,73.3112582781457,0.017450682852807282,0,6.2675799831882975,4.6591188920447095,4.308262464849942,0
0,0,0,161.5,92,173.5,206.2,95,7.9,4,2,549.1,299,139.60169491525426,76.01694915254238,0.014361025268133067,0,6.310100079881413,4.945931034177691,4.344025516495268,0
0,1,28,235.6,74,227.9,170.3,103,15.4,9,0,649.1999999999999,223,106.42622950819671,36.55737704918033,0.02368501999384805,0,6.477280007869805,4.676804374866186,3.6258698182801843,0
0,1,39,206.9,143,127.8,199.2,120,9.2,1,3,543.1,336,193.96428571428572,120.00000000000001,0.016908656496967468,0,6.29913305349188,5.272816391606554,4.795790545596741,0
0,0,0,157.6,85,194.1,231.5,86,9.4,10,5,592.6,273,163.10091743119267,75.13761467889908,0.015835579514824796,1,6.386205691853171,5.100481588764102,4.332542422369304,1
0,0,0,175.6,147,161.8,289.5,55,9.3,4,0,636.1999999999999,324,224.54117647058823,114.3529411764706,0.014595103578154429,0,6.457083578035894,5.418502743029733,4.74799648214013,0
0,0,0,264.7,69,305.0,197.4,86,9.5,9,1,776.6,284,167.61151079136692,61.29496402877699,0.012217078189300411,0,6.656212253146229,5.127597316021183,4.1318805883171095,1
0,1,31,282.3,70,152.0,225.5,93,12.0,4,1,671.8,256,212.14736842105262,80.8421052631579,0.017835909631391204,0,6.511448108658739,5.361983796998729,4.404791845446894,0
0,0,0,193.8,102,118.9,135.9,124,9.2,3,0,457.8,333,240.94736842105266,175.26315789473685,0.020052310374891018,0,6.128614385255216,5.488720216639788,5.171978093627764,0
0,1,26,266.7,109,232.3,212.8,98,16.3,4,1,728.0999999999999,318,352.30645161290323,153.8709677419355,0.022356329721574548,0,6.591810896812384,5.867335815202908,5.042592304045794,0
0,1,36,118.1,117,221.5,103.9,89,11.9,6,2,455.4,337,413.99999999999994,306.3636363636363,0.026073619631901843,0,6.123369617987921,6.028278520230698,5.728031529909515,0
0,0,0,176.8,90,224.7,204.6,77,7.5,15,1,613.6,263,123.54362416107382,52.95302013422819,0.012203058900097624,0,6.4209716496963845,4.82465604939888,3.9881136703825018,0
0,0,0,241.9,101,129.4,264.8,104,5.9,3,1,642.0,329,263.8356164383561,135.2054794520548,0.00917573872472784,0,6.466144724237619,5.579109318184111,4.914164623831683,0
0,0,0,189.5,90,189.8,205.8,83,13.1,2,1,598.2,293,122.91780821917808,60.20547945205479,0.02186248331108144,0,6.3955954322030095,4.8196185088893975,4.1142367190407,0
0,0,0,123.1,100,158.4,256.1,82,9.3,5,0,546.9,269,119.75912408759125,58.9051094890511,0.016973900346778613,0,6.30609278854437,4.793797851480031,4.092761801801587,0
0,0,0,159.1,94,241.6,202.4,120,6.5,1,1,609.6,334,119.5294117647059,65.49019607843138,0.010645266950540452,0,6.414442080300778,4.791893804182684,4.197054509401313,0
0,0,0,100.1,90,233.3,204.4,57,11.1,8,3,548.9,248,117.62142857142858,53.14285714285715,0.020185488270594652,0,6.309736443513769,4.775937149597449,3.9916260560271133,0
0,0,0,223.2,76,214.4,154.4,80,10.1,2,3,602.1,289,87.68446601941748,42.0873786407767,0.016746808157851102,0,6.402083020456941,4.485084744546989,3.7632301152629033,0
0,1,21,315.6,105,208.9,260.1,123,12.1,3,3,796.7,302,555.8372093023256,210.69767441860466,0.01516860975303999,0,6.681732586917084,6.322272933838972,5.355159192811726,0
0,0,0,189.8,111,197.3,234.5,111,14.9,3,2,636.5,326,161.82203389830508,82.88135593220339,0.023372549019607843,0,6.457554277032581,5.092657787766036,4.429403371046167,0
0,1,29,155.4,110,188.5,254.9,118,8.0,4,3,606.8,336,149.21311475409837,82.62295081967214,0.013162224415926292,0,6.409845880482693,5.012055050791902,4.426318013749616,0
0,0,0,154.2,91,268.6,188.8,99,10.9,4,6,622.5,302,95.76923076923077,46.46153846153846,0.01748195669607057,1,6.435348765120091,4.572329079798849,3.859919666443851,0
0,0,0,178.8,94,178.4,169.2,77,7.5,3,1,533.9000000000001,271,86.11290322580646,43.70967741935484,0.014021312394840155,0,6.282079813537204,4.467205015547799,3.8001899752647024,0
