State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn
SD,144.0,408,No,Yes,48,189.8,96.0,123.4,67.0,214.2,106,6.5,2.0,2.0,True
MT,143.0,415,No,No,0,172.3,97.0,174.0,108.0,188.2,119,13.0,4.0,2.0,False
MN,81.0,415,No,No,0,198.4,93.0,210.9,108.0,193.3,71,10.4,6.0,2.0,False
SD,145.0,408,No,Yes,24,147.5,90.0,175.7,108.0,252.1,102,15.6,3.0,2.0,False
OK,89.0,510,No,No,0,303.9,95.0,260.9,114.0,312.1,89,5.3,3.0,1.0,True
CT,199.0,415,No,Yes,34,230.6,121.0,219.4,99.0,299.3,94,8.0,2.0,0.0,False
CT,96.0,415,No,Yes,37,172.7,93.0,120.1,116.0,216.1,86,10.3,5.0,3.5,True
MN,94.0,415,No,No,0,181.5,98.0,199.9,88.0,287.7,114,6.6,5.0,1.0,False
FL,127.0,415,No,No,0,266.6,106.0,264.8,154.5,207.2,119,5.9,2.0,1.0,True
RI,121.0,408,No,No,0,170.4,108.0,338.35,68.0,297.0,87,11.2,3.0,0.0,True
IN,122.0,408,No,No,0,296.4,99.0,214.8,89.0,133.9,107,11.4,3.0,3.5,True
AL,121.0,408,No,Yes,35,68.7,95.0,209.2,69.0,197.4,48,11.4,4.0,1.0,False
OR,77.0,510,No,No,0,233.8,104.0,266.5,94.0,212.7,104,7.6,3.0,2.0,False
MS,64.0,408,Yes,No,0,236.2,77.0,218.6,85.0,194.1,97,13.2,2.0,2.0,True
CA,124.0,408,Yes,No,0,244.6,89.0,188.8,80.0,206.0,114,11.3,4.0,1.0,False
DE,148.0,415,No,No,0,124.4,83.0,179.7,81.0,253.0,99,11.3,6.0,0.0,False
MS,77.0,408,No,No,0,230.0,87.0,103.2,138.0,309.6,136,11.3,3.0,2.0,False
NC,135.0,415,No,No,0,201.8,81.0,225.0,114.0,204.4,82,10.3,6.0,1.0,False
SD,87.0,415,No,Yes,21,214.0,113.0,180.0,114.0,134.5,82,10.6,5.0,0.0,False
NH,54.0,510,No,No,0,210.5,102.0,204.5,83.0,127.8,53,8.5,5.0,1.0,False
MA,35.0,415,No,No,0,105.6,129.0,258.2,129.0,213.1,77,8.7,3.0,0.0,False
TX,84.0,408,No,No,0,138.6,102.0,199.0,93.0,204.1,137,7.8,4.0,0.0,False
OR,94.0,415,No,No,0,234.4,103.0,279.3,109.0,234.2,121,3.1000000000000005,2.0,1.0,True
UT,96.0,408,No,Yes,26,145.8,108.0,192.2,89.0,165.1,96,9.9,2.0,1.0,False
NV,64.0,415,No,No,0,97.2,80.0,186.2,90.0,189.0,92,10.4,6.0,2.0,False
NE,85.0,415,No,No,0,259.8,85.0,242.3,117.0,168.8,72,5.4,1.0,0.0,False
AZ,117.0,408,No,No,0,239.9,84.0,174.8,106.0,209.5,93,9.8,2.0,0.0,False
DC,112.0,415,No,Yes,16,221.6,110.0,130.2,123.0,200.0,108,11.3,3.0,1.0,False
MA,129.0,510,Yes,No,0,192.9,131.0,185.5,101.0,205.2,130,10.9,4.0,1.0,False
AZ,140.0,408,No,No,0,173.2,91.0,196.8,106.0,209.3,128,11.2,5.0,3.0,False
MI,81.0,415,No,No,0,153.5,99.0,197.6,102.0,198.5,86,6.3,2.0,2.0,False
TX,70.0,510,No,No,0,59.5,103.0,257.2,106.0,208.3,86,11.1,6.0,0.0,False
ID,79.0,510,No,Yes,21,264.3,79.0,202.8,118.0,173.4,92,6.3,3.0,3.5,False
AL,85.0,408,No,No,0,127.9,107.0,271.2,124.0,202.2,76,12.5,5.0,0.0,False
SD,91.0,510,No,No,0,149.0,115.0,245.3,105.0,260.0,94,8.3,3.0,0.0,False
LA,149.0,415,No,Yes,20,198.9,77.0,274.0,88.0,190.7,76,14.3,9.0,1.0,False
AZ,60.0,415,No,No,0,98.2,88.0,180.5,69.0,223.6,69,9.3,2.0,2.0,False
RI,115.0,408,No,No,0,147.9,109.0,228.4,117.0,299.7,90,9.6,9.0,3.0,False
OH,144.0,415,No,Yes,18,106.4,109.0,108.1,113.0,208.4,111,10.1,5.0,1.0,False
AZ,86.0,415,No,Yes,32,70.9,154.5,166.7,121.0,244.9,105,11.1,5.0,3.0,False
MI,139.0,415,No,Yes,20,214.6,101.0,235.1,132.0,162.8,132,14.8,10.5,0.0,False
NV,124.0,408,No,No,0,151.1,123.0,187.4,104.0,255.4,93,5.3,3.0,1.0,False
MA,102.0,510,Yes,No,0,233.8,103.0,221.6,131.0,146.9,106,12.8,3.0,0.0,False
IN,78.0,415,No,No,0,208.9,119.0,252.4,132.0,280.2,120,12.8,7.0,0.0,False
AL,55.0,415,Yes,No,0,191.9,91.0,256.1,110.0,203.7,101,14.3,6.0,1.0,True
RI,129.0,415,No,Yes,33,119.6,104.0,278.7,88.0,263.4,152,5.9,2.0,2.0,False
ME,75.0,408,Yes,No,0,211.3,61.0,105.6,119.0,175.9,63,9.7,4.0,3.5,True
SD,126.0,415,No,Yes,23,114.3,102.0,190.3,103.0,240.4,111,12.6,7.0,3.0,False
MO,92.0,415,No,No,0,154.0,122.0,329.8,88.0,288.0,117,5.6,2.0,3.0,True
OK,52.0,408,No,No,0,214.7,68.0,158.6,138.0,123.4,114,9.4,4.0,2.0,False
IL,87.0,510,No,No,0,231.3,105.0,171.7,108.0,67.7,136,13.0,6.0,1.0,False
NJ,95.0,415,No,Yes,22,40.9,126.0,133.4,90.0,264.2,91,11.9,7.0,0.0,False
LA,67.0,510,No,No,0,310.4,97.0,66.5,123.0,246.5,99,9.2,10.0,3.5,False
OR,165.0,415,No,No,0,216.6,126.0,190.8,104.0,224.7,123,12.4,8.0,0.0,False
RI,150.0,415,No,Yes,29,209.9,77.0,158.0,52.0,141.9,113,6.6,1.0,0.0,False
NC,26.0,415,No,No,0,234.5,109.0,216.5,129.0,191.6,94,3.5,6.0,3.0,False
MD,79.0,510,No,Yes,31,103.1,90.0,243.0,135.0,76.4,92,12.2,8.0,3.0,False
WI,69.0,510,Yes,No,0,279.8,90.0,248.7,91.0,171.0,118,8.4,10.0,2.0,True
VT,95.0,510,Yes,Yes,41,136.8,91.0,200.8,61.0,133.7,67,10.3,9.0,3.5,True
NY,157.0,415,No,No,0,224.5,111.0,200.7,99.0,116.6,118,11.5,2.0,2.0,False
VT,80.0,415,No,No,0,160.6,103.0,237.0,109.0,245.1,88,10.7,1.0,1.0,False
AZ,75.0,510,No,Yes,37,121.5,97.0,271.4,110.0,248.7,97,11.3,5.0,2.0,False
WV,44.0,510,No,No,0,228.1,121.0,276.5,79.0,279.8,77,9.9,5.0,2.0,True
OK,101.0,408,No,No,0,89.7,118.0,260.1,79.0,170.1,93,13.5,10.5,3.5,True
WI,117.0,408,No,Yes,14,80.2,81.0,219.0,103.0,122.6,102,8.6,2.0,1.0,False
PA,82.0,408,No,No,0,125.7,96.0,207.6,137.0,183.1,103,12.9,2.0,1.0,False
NY,39.0,408,No,No,0,160.4,68.0,102.6,103.0,235.3,106,9.1,5.0,2.0,False
NM,30.0,415,No,No,0,169.9,144.0,225.2,118.0,169.7,93,11.4,7.0,1.0,False
NC,63.0,415,No,Yes,29,142.3,107.0,118.7,56.0,240.1,91,6.6,8.0,1.0,False
WY,111.0,415,No,No,0,146.2,55.0,261.5,83.0,163.2,116,8.7,3.0,3.0,False
PA,91.0,510,No,No,0,231.8,120.0,150.6,106.0,269.2,129,11.6,7.0,3.0,False
NV,105.0,415,Yes,Yes,29,220.7,82.0,217.7,110.0,190.5,100,13.2,6.0,1.0,True
WA,166.0,408,Yes,Yes,35,128.2,138.0,274.5,113.0,298.9,130,8.8,7.0,2.0,False
FL,79.0,510,No,No,0,130.2,119.0,290.9,121.0,194.8,140,14.0,6.0,3.0,False
ME,105.0,408,No,Yes,33,209.6,68.0,146.9,140.0,121.0,131,10.6,3.0,2.0,False
LA,172.0,415,No,No,0,215.7,140.0,146.3,84.0,264.6,83,7.1,1.0,3.0,False
KS,121.0,408,No,No,0,150.7,105.0,197.3,133.0,169.0,116,9.2,10.5,1.0,False
ND,88.0,415,No,No,0,161.5,92.0,173.5,108.0,206.2,95,7.9,4.0,2.0,False
WV,153.0,408,No,Yes,28,235.6,74.0,227.9,46.5,170.3,103,15.4,9.0,0.0,False
AR,54.0,415,No,Yes,39,206.9,143.0,127.8,72.0,199.2,120,9.2,1.0,3.0,False
CA,79.0,510,No,No,0,157.6,85.0,194.1,92.0,231.5,86,9.4,10.0,3.5,True
MN,55.0,415,No,No,0,175.6,147.0,161.8,118.0,289.5,55,9.3,4.0,0.0,False
MT,109.0,408,No,No,0,264.7,69.0,305.0,120.0,197.4,86,9.5,9.0,1.0,True
SD,65.0,408,No,Yes,31,282.3,70.0,152.0,89.0,225.5,93,12.0,4.0,1.0,False
MT,27.0,510,No,No,0,193.8,102.0,118.9,104.0,135.9,124,9.2,3.0,0.0,False
WV,32.0,408,No,Yes,26,266.7,109.0,232.3,107.0,212.8,98,16.3,4.0,1.0,False
CT,3.0,415,No,Yes,36,118.1,117.0,221.5,125.0,103.9,89,11.9,6.0,2.0,False
DE,119.0,415,No,No,0,176.8,90.0,224.7,81.0,204.6,77,7.5,10.5,1.0,False
LA,43.0,415,No,No,0,241.9,101.0,129.4,121.0,264.8,104,5.9,3.0,1.0,False
KS,116.0,510,No,No,0,189.5,90.0,189.8,118.0,205.8,83,13.1,2.0,1.0,False
WV,107.0,415,No,No,0,123.1,100.0,158.4,82.0,256.1,82,9.3,5.0,0.0,False
ND,123.0,408,No,No,0,159.1,94.0,241.6,119.0,202.4,120,6.5,1.0,1.0,False
AK,110.0,408,No,No,0,100.1,90.0,233.3,93.0,204.4,57,11.1,8.0,3.0,False
ME,176.0,415,No,No,0,223.2,76.0,214.4,131.0,154.4,80,10.1,2.0,3.0,False
MN,13.0,510,No,Yes,21,315.6,105.0,208.9,71.0,260.1,123,12.1,3.0,3.0,False
KS,88.0,415,No,No,0,189.8,111.0,197.3,101.0,234.5,111,14.9,3.0,2.0,False
NJ,92.0,510,No,Yes,29,155.4,110.0,188.5,104.0,254.9,118,8.0,4.0,3.0,False
WI,165.0,510,No,No,0,154.2,91.0,268.6,108.0,188.8,99,10.9,4.0,3.5,False
AR,156.0,415,No,No,0,178.8,94.0,178.4,97.0,169.2,77,7.5,3.0,1.0,False
WA,63.0,408,No,No,0,149.3,104.0,273.6,75.0,206.6,72,9.1,4.0,0.0,False
ID,83.0,415,Yes,Yes,32,94.7,111.0,154.4,98.0,200.4,109,10.6,6.0,2.0,False
VA,158.0,415,No,No,0,222.8,101.0,203.0,128.0,210.6,106,6.9,2.0,2.0,False
WV,115.0,510,Yes,No,0,249.9,95.0,242.5,104.0,151.7,121,15.3,6.0,1.0,True
UT,103.0,510,No,Yes,36,87.2,92.0,169.3,110.0,166.7,80,10.9,5.0,3.5,True
NJ,64.0,415,No,No,0,224.8,111.0,190.0,101.0,221.4,110,9.2,2.0,1.0,False
MS,86.0,510,No,Yes,39,261.2,122.0,214.2,101.0,154.9,101,12.7,5.0,2.0,False
ME,151.0,415,No,Yes,26,196.5,98.0,175.8,111.0,221.8,124,13.4,5.0,0.0,False
NM,87.0,510,Yes,No,0,167.3,119.0,198.5,119.0,133.1,88,11.0,6.0,1.0,False
TX,90.0,415,No,No,0,109.6,88.0,137.6,108.0,159.7,121,11.0,5.0,2.0,False
LA,108.0,510,No,Yes,30,276.6,99.0,220.1,113.0,177.9,95,9.8,6.0,2.0,False
TN,33.0,415,No,Yes,35,186.8,124.0,261.0,69.0,317.8,103,15.0,5.0,0.0,False
WI,149.0,415,Yes,Yes,28,126.9,97.0,166.9,102.0,145.2,77,8.8,3.0,3.5,True
MT,106.0,510,No,No,0,169.4,107.0,197.2,71.0,202.2,79,10.7,4.0,1.0,False
ND,167.0,408,Yes,No,0,219.1,100.0,242.9,90.0,168.9,101,10.1,4.0,2.0,False
WI,35.0,510,No,Yes,27,241.7,87.0,142.0,101.0,288.9,68,9.4,4.0,1.0,False
MO,107.0,415,No,Yes,22,281.1,83.0,143.7,130.0,239.4,128,11.2,9.0,1.0,False
AZ,92.0,415,Yes,Yes,45,281.1,88.0,198.0,103.0,94.3,76,7.5,3.0,0.0,False
VT,38.0,415,No,No,0,137.8,86.0,286.3,76.0,167.0,77,14.1,3.0,2.0,False
VA,68.0,408,Yes,No,0,148.5,126.0,219.4,125.0,198.5,121,14.5,7.0,1.0,True
NE,123.0,510,No,No,0,194.0,118.0,242.0,114.0,146.3,108,12.1,4.0,1.0,False
WA,75.0,510,No,Yes,41,130.9,115.0,203.4,110.0,171.7,68,12.4,4.0,1.0,False
NM,153.0,408,No,No,0,185.3,127.0,208.0,73.0,206.1,124,15.1,3.0,1.0,False
FL,143.0,415,No,No,0,119.1,117.0,287.7,136.0,223.0,100,12.2,4.0,0.0,False
SC,87.0,408,No,No,0,322.5,106.0,204.6,93.0,186.2,128,9.4,4.0,2.0,True
IN,100.0,510,No,No,0,216.2,107.0,215.6,84.0,138.4,127,10.2,3.0,0.0,False
FL,144.0,415,No,Yes,50,283.9,98.0,192.0,109.0,196.3,85,10.0,4.0,1.0,False
ND,70.0,415,No,Yes,31,125.9,101.0,196.4,102.0,252.7,75,10.3,4.0,1.0,False
MA,136.0,408,Yes,No,0,199.6,89.0,211.4,96.0,72.4,84,11.0,4.0,3.0,True
MO,120.0,415,No,Yes,24,212.7,73.0,257.5,103.0,227.8,119,9.7,10.5,2.0,False
WY,104.0,408,No,No,0,183.6,133.0,120.7,98.0,215.1,112,12.7,2.0,1.0,False
CA,75.0,510,No,Yes,38,163.6,132.0,146.7,113.0,337.75,115,13.1,3.0,3.0,False
NE,127.0,510,Yes,No,0,180.9,114.0,209.5,118.0,249.9,105,7.4,4.0,2.0,False
ID,122.0,510,No,Yes,33,270.8,96.0,220.4,110.0,169.9,104,11.8,8.0,3.5,False
VT,124.0,415,No,No,0,178.4,72.0,233.6,134.0,179.4,91,12.0,2.0,0.0,False
MO,167.0,415,Yes,No,0,244.8,91.0,63.54999999999997,105.0,176.7,110,10.7,3.0,2.0,False
VA,89.0,415,No,Yes,32,209.9,113.0,249.8,104.0,224.2,92,8.7,7.0,1.0,False
VT,73.0,408,No,No,0,213.0,95.0,188.8,104.0,136.2,89,13.5,3.0,0.0,False
MS,1.0,415,No,No,0,144.8,107.0,112.5,66.0,218.7,79,13.8,3.0,1.0,False
KY,60.0,408,No,No,0,135.4,134.0,205.9,85.0,204.0,103,7.9,4.0,1.0,False
WV,77.0,510,No,No,0,67.7,68.0,195.7,86.0,236.5,137,12.0,2.0,1.0,False
DC,76.0,415,No,No,0,224.4,121.0,147.9,97.0,183.8,74,6.7,2.0,2.0,False
IA,63.0,510,No,No,0,153.5,81.0,287.3,115.0,230.2,85,6.5,5.0,2.0,False
MN,150.0,415,No,Yes,28,174.4,75.0,169.9,80.0,201.6,130,11.0,4.0,1.0,False
VT,101.0,415,No,No,0,153.8,89.0,234.0,89.0,196.3,77,11.6,2.0,3.5,False
AK,132.0,415,No,Yes,39,175.7,93.0,187.2,94.0,225.5,118,8.6,3.0,2.0,False
CA,158.0,510,No,No,0,155.9,123.0,224.2,112.0,221.0,116,8.6,8.0,2.0,False
MS,114.0,415,No,Yes,34,154.4,109.0,221.4,142.0,208.5,103,10.3,5.0,0.0,False
AR,77.0,415,No,Yes,23,209.7,73.0,183.6,63.0,205.5,111,7.1,3.0,2.0,False
NJ,107.0,415,No,No,0,212.1,95.0,150.1,88.0,219.8,111,7.7,2.0,3.0,False
NJ,48.0,510,No,Yes,22,152.0,63.0,258.8,131.0,263.2,109,15.7,5.0,2.0,True
TN,59.0,415,No,No,0,160.9,95.0,251.2,65.0,273.4,97,5.0,5.0,3.0,False
DE,129.0,510,No,No,0,325.45000000000005,118.0,192.1,104.0,191.0,83,10.4,6.0,0.0,True
TX,50.0,510,No,No,0,188.9,94.0,203.9,104.0,151.8,124,11.6,8.0,3.0,False
MI,50.0,415,No,Yes,35,192.6,97.0,135.2,101.0,216.2,101,7.9,2.0,2.0,False
MS,116.0,415,No,No,0,217.3,91.0,216.1,95.0,148.1,76,11.3,3.0,2.0,False
OK,52.0,510,No,Yes,38,169.3,88.0,225.9,97.0,172.0,86,8.2,3.0,0.0,False
ND,12.0,510,Yes,No,0,216.7,117.0,116.5,126.0,220.0,110,9.8,4.0,2.0,False
ND,105.0,510,No,No,0,246.4,83.0,256.2,101.0,169.0,151,3.8,4.0,0.0,False
NY,104.0,415,No,No,0,156.2,93.0,193.0,54.0,222.7,94,13.1,5.0,1.0,False
WV,13.0,415,No,No,0,146.4,74.0,148.5,92.0,216.7,96,11.3,3.0,1.0,False
WV,67.0,408,No,No,0,167.8,91.0,167.7,69.0,110.3,71,8.4,10.5,1.0,False
DC,148.0,415,No,Yes,11,252.9,129.0,284.3,88.0,262.8,99,12.3,1.0,1.0,False
MN,116.0,510,No,No,0,201.8,82.0,231.5,95.0,226.1,130,16.5,5.0,0.0,False
DE,131.0,408,No,No,0,94.4,80.0,215.1,101.0,179.7,108,13.1,9.0,2.0,False
VT,119.0,510,No,No,0,190.4,74.0,215.6,113.0,161.2,111,10.0,1.0,2.0,False
NY,94.0,510,Yes,No,0,243.2,109.0,147.0,88.0,94.9,99,7.2,4.0,3.5,False
TX,206.5,408,No,No,0,176.4,115.0,158.8,128.0,306.6,107,9.3,3.0,3.5,False
OR,161.0,415,No,No,0,178.1,109.0,146.5,86.0,137.6,78,8.5,2.0,1.0,False
KS,67.0,408,No,No,0,201.4,101.0,97.6,122.0,202.5,119,7.0,3.0,0.0,False
ND,132.0,415,No,Yes,31,174.5,101.0,245.6,105.0,172.8,76,10.3,9.0,1.0,False
PA,134.0,408,No,No,0,205.3,122.0,240.5,154.5,179.1,107,5.0,9.0,1.0,False
NY,44.0,510,No,No,0,143.2,77.0,169.8,114.0,215.8,77,7.6,4.0,1.0,False
WY,53.0,415,No,Yes,27,34.64999999999996,119.0,206.5,96.0,228.1,64,6.5,7.0,1.0,False
NY,108.0,415,No,No,0,154.2,123.0,112.3,86.0,246.4,75,15.4,4.0,3.5,True
ME,80.0,408,No,No,0,322.3,113.0,222.0,95.0,162.8,123,6.7,8.0,0.0,True
SD,88.0,415,No,No,0,215.6,115.0,216.2,85.0,171.3,65,11.8,1.0,3.0,False
UT,82.0,510,Yes,No,0,208.8,101.0,213.7,87.0,175.1,86,12.4,6.0,3.0,False
AK,115.0,415,No,No,0,245.2,105.0,159.0,109.0,229.9,74,7.2,8.0,0.0,False
RI,93.0,415,No,No,0,98.4,78.0,249.6,129.0,248.2,114,14.2,4.0,1.0,False
AL,72.0,415,No,No,0,217.8,93.0,189.7,113.0,182.6,91,10.4,5.0,3.5,False
DE,98.0,415,No,Yes,29,179.9,97.0,189.2,89.0,164.3,76,12.8,7.0,3.0,False
ID,118.0,415,No,No,0,140.4,112.0,187.1,60.0,207.9,152,7.9,1.0,0.0,False
MO,55.0,510,No,No,0,189.0,100.0,118.5,99.0,248.1,87,17.1,6.0,0.0,False
IL,130.0,415,No,No,0,155.9,95.0,256.1,97.0,262.9,103,11.7,3.0,3.0,False
FL,136.0,408,Yes,No,0,199.2,122.0,214.7,114.0,150.9,105,11.8,7.0,1.0,False
KY,107.0,415,No,No,0,157.1,79.0,162.6,124.0,150.0,138,12.1,6.0,1.0,False
MI,91.0,415,No,No,0,154.4,154.5,168.3,121.0,239.9,81,11.7,4.0,3.5,True
NY,167.0,415,No,No,0,166.4,85.0,243.2,135.0,229.2,95,9.9,5.0,1.0,False
KS,159.0,415,No,Yes,19,184.1,78.0,194.5,71.0,225.6,101,16.9,3.0,0.0,False
PA,122.0,415,No,No,0,35.1,62.0,180.8,89.0,251.6,58,12.7,2.0,1.0,False
MI,105.0,415,No,Yes,29,179.4,113.0,275.4,100.0,246.1,105,10.0,5.0,0.0,False
NH,155.0,408,No,No,0,216.7,46.5,144.3,125.0,135.3,106,10.8,1.0,2.0,False
WA,161.0,415,No,No,0,151.6,117.0,219.4,87.0,224.7,68,4.0,5.0,1.0,False
NY,122.0,415,No,No,0,173.6,110.0,91.7,84.0,211.7,103,9.7,7.0,3.0,False
MD,37.0,415,Yes,No,0,106.6,76.0,147.4,89.0,235.8,113,9.6,8.0,2.0,False
KS,128.0,415,No,No,0,103.3,122.0,245.9,123.0,161.1,95,6.4,7.0,0.0,False
DE,89.0,510,Yes,No,0,125.6,108.0,213.0,90.0,181.7,108,5.4,5.0,1.0,False
IN,108.0,415,No,No,0,199.3,104.0,224.2,92.0,140.1,57,15.2,2.0,0.0,False
VT,109.0,408,No,No,0,222.2,113.0,218.5,122.0,266.0,88,10.9,5.0,1.0,False
WA,29.0,415,No,No,0,157.4,122.0,145.0,75.0,281.8,92,9.3,2.0,1.0,False
NM,119.0,415,Yes,Yes,15,160.0,95.0,209.5,110.0,82.3,107,8.7,5.0,3.5,True
MO,86.0,415,No,No,0,83.5,96.0,221.1,63.0,337.75,75,12.6,3.0,0.0,False
IA,92.0,510,No,Yes,25,134.0,112.0,206.0,111.0,180.6,118,9.7,4.0,0.0,False
WA,13.0,510,No,Yes,25,176.6,65.0,172.7,96.0,104.5,128,11.3,5.0,2.0,False
CT,144.0,510,Yes,Yes,35,174.8,127.0,219.6,93.0,255.8,90,12.8,3.0,0.0,False
NH,139.0,510,No,No,0,221.3,140.0,157.8,89.0,192.5,89,11.3,6.0,1.0,False
LA,95.0,415,No,No,0,141.1,84.0,211.4,108.0,103.7,127,5.9,6.0,3.0,False
ME,80.0,408,No,Yes,31,166.4,92.0,238.3,74.0,150.7,84,10.7,4.0,3.5,False
MT,113.0,415,No,No,0,215.9,93.0,240.1,85.0,156.7,123,4.9,5.0,3.0,False
ID,88.0,415,No,Yes,31,181.6,91.0,213.2,120.0,207.8,104,11.4,4.0,1.0,False
UT,74.0,415,No,No,0,106.4,84.0,140.2,104.0,90.9,81,11.4,3.0,1.0,False
IL,48.0,510,No,No,0,128.2,71.0,63.54999999999997,78.0,116.3,80,8.9,3.0,0.0,False
AZ,163.0,510,No,No,0,178.7,56.0,215.7,79.0,152.7,84,10.6,2.0,3.5,False
